Ryan Tannehill,QB,5300,15.89
Dak Prescott,QB,6000,17.64
Nick Foles,QB,5400,15.47
Ryan Finley,QB,4700,11.9
Sam Darnold,QB,5800,16.97
Mason Rudolph,QB,5500,14.75
Tom Brady,QB,6000,17.27
Aaron Rodgers,QB,6000,18.8
Lamar Jackson,QB,7400,24.13
Jared Goff,QB,5500,17.33
Carson Wentz,QB,5600,17.72
Russell Wilson,QB,6800,20.46
Jimmy Garoppolo,QB,6100,18.08
Derek Carr,QB,6100,17.08
Dwayne Haskins,QB,4900,13.55
Ryan Fitzpatrick,QB,5000,14.51
Baker Mayfield,QB,5900,18.43
Matt Ryan,QB,6700,21.26
Jameis Winston,QB,6200,20.19
Deshaun Watson,QB,6500,20.94
Daniel Jones,QB,5700,15.2
Mitchell Trubisky,QB,5100,15.87
Josh Allen,QB,6400,17.81
Jeff Driskel,QB,5500,17.43
Brandon Allen,QB,4600,12.91
Drew Brees,QB,6600,19.33
Kyle Allen,QB,5200,15.27
Jacoby Brissett,QB,6300,16.34
Dion Lewis,RB,3600,6.22
Leonard Fournette,RB,7300,17.68
Ryquell Armstead,RB,4300,3.41
Devine Ozigbo,RB,3000,0.15
Derrick Henry,RB,6900,17.65
Khari Blasingame,RB,3000,0.49
Ezekiel Elliott,RB,7500,16.53
Tony Pollard,RB,4700,4.07
Jamize Olawale,RB,3000,0.75
Benny Snell,RB,4500,5.72
Trayveon Williams,RB,3400,1.4
Bilal Powell,RB,3500,2.93
Le'Veon Bell,RB,6400,16.46
Josh Jacobs,RB,7400,15.96
Jalen Richard,RB,4000,5.54
Ty Montgomery,RB,4000,1.8
Jaylen Samuels,RB,7200,14.53
Giovani Bernard,RB,4100,5.13
Joe Mixon,RB,5900,13.36
Trey Edmunds,RB,3900,3.41
Sony Michel,RB,4600,11.44
Rex Burkhead,RB,3700,4.5
Justice Hill,RB,3000,1.83
Miles Sanders,RB,5000,13.12
Boston Scott,RB,3000,3.19
Jay Ajayi,RB,3000,6.43
Gus Edwards,RB,4300,3.89
Mark Ingram,RB,6300,12.21
Todd Gurley,RB,6000,12.97
Malcolm Brown,RB,4000,4.44
Darrell Henderson,RB,3000,1.15
Chris Carson,RB,6700,16.72
Rashaad Penny,RB,4300,3.55
Jamaal Williams,RB,4500,10.8
Dan Vitale,RB,3000,0.63
James White,RB,5300,12.45
Aaron Jones,RB,7000,15.98
Tevin Coleman,RB,6200,15.28
Travis Homer,RB,3000,0.21
Raheem Mostert,RB,3700,5.6
Kyle Juszczyk,RB,3300,3.31
DeAndre Washington,RB,3000,4
Wendell Smallwood,RB,3000,1.04
Myles Gaskin,RB,3000,0.85
Patrick Laird,RB,3400,4.85
Kalen Ballage,RB,4400,10.55
Brian Hill,RB,4900,14.13
Nick Chubb,RB,8100,19.08
Kareem Hunt,RB,5600,12.32
Wayne Gallman,RB,4200,2.45
Elijhaa Penny,RB,3000,0.22
Dontrell Hilliard,RB,3300,0.75
Kenjon Barner,RB,3500,2.83
Qadree Ollison,RB,3300,5.41
Gregory Howell,RB,3000,1.36
Jordan Wilkins,RB,4000,4.35
Jonathan Williams,RB,4200,7.53
Duke Johnson,RB,3900,8.63
Carlos Hyde,RB,4800,12.02
Dare Ogunbowale,RB,3200,5.63
Peyton Barber,RB,3800,4.46
Ronald Jones,RB,4800,12.13
Saquon Barkley,RB,7900,16.96
David Montgomery,RB,5500,13.83
Patrick DiMarco,RB,3000,0.6
Frank Gore,RB,4100,6.38
Devin Singletary,RB,5400,13.6
Devontae Booker,RB,3000,1.16
Bo Scarbrough,RB,4200,8.91
Ty Johnson,RB,3700,5.31
Adrian Peterson,RB,4300,7.81
Derrius Guice,RB,4700,10.12
J.D. McKissic,RB,4400,7.9
Royce Freeman,RB,4500,8.93
Phillip Lindsay,RB,5200,14.15
Christian McCaffrey,RB,10500,22.98
Ryan Nall,RB,3000,0.92
Tarik Cohen,RB,4800,10.18
Reggie Bonnafon,RB,3900,0.77
Alvin Kamara,RB,8200,22.03
Alex Armah,RB,3000,0.27
Zach Line,RB,3000,0.64
Latavius Murray,RB,6100,10.49
Nyheim Hines,RB,4700,8.67
DJ Chark,WR,6400,13.73
Chris Conley,WR,4100,8.35
A.J. Brown,WR,4700,9.95
Dede Westbrook,WR,4600,11.09
Keelan Cole,WR,3500,5.08
Auden Tate,WR,4100,6.74
Michael Walker,WR,3000,0.57
Corey Davis,WR,4300,7.82
Tajae Sharpe,WR,3000,5.46
Randall Cobb,WR,4800,9.64
Michael Gallup,WR,5900,11.76
Amari Cooper,WR,6600,13.7
Tavon Austin,WR,3000,1.66
Ventell Bryant,WR,3000,0.56
Kalif Raymond,WR,3000,1.96
Adam Humphries,WR,3900,8.94
Diontae Johnson,WR,5100,10.15
Stanley Morgan,WR,3000,3.5
Demaryius Thomas,WR,3800,9.54
Jamison Crowder,WR,6200,13.79
Vyncint Smith,WR,3000,2.06
Robby Anderson,WR,4800,9.51
Trevor Davis,WR,3000,0.61
Zay Jones,WR,3400,6.67
Tyrell Williams,WR,5900,12.99
Braxton Berrios,WR,3000,0.53
Tevin Jones,WR,3000,1.91
Tyler Boyd,WR,5000,12.8
Alex Erickson,WR,4000,6.12
Damion Willis,WR,3100,1.25
Johnny Holton,WR,3300,4.92
Deon Cain,WR,3000,1.43
James Washington,WR,5000,10.54
Julian Edelman,WR,6900,15.46
N'Keal Harry,WR,3300,11.06
Greg Ward,WR,3000,1.34
De'Anthony Thomas,WR,3000,2.18
Miles Boykin,WR,3200,3.46
Mack Hollins,WR,3200,7.23
JJ Arcega-Whiteside,WR,3000,7.61
Tyler Lockett,WR,7600,16.7
Jordan Matthews,WR,3500,11.12
Seth Roberts,WR,3100,4.87
Willie Snead,WR,3700,6.55
Brandin Cooks,WR,5000,11.17
Robert Woods,WR,5400,12.4
Cooper Kupp,WR,6800,16.62
Josh Reynolds,WR,3700,2.25
Marquise Brown,WR,5400,12.73
Mike Thomas,WR,3000,1.16
D.K. Metcalf,WR,6300,13.39
Josh Gordon,WR,4200,9.17
Geronimo Allison,WR,3500,4.29
Marquez Valdes-Scantling,WR,3900,9.02
Davante Adams,WR,6500,16.88
Jake Kumerow,WR,3100,1.27
Mohamed Sanu,WR,5500,2.51
Jakobi Meyers,WR,3000,5.73
Matt Slater,WR,3000,0.39
Allen Lazard,WR,3400,6.86
Deebo Samuel,WR,5100,11.11
David Moore,WR,3200,5.16
Malik Turner,WR,3000,3.31
Emmanuel Sanders,WR,6400,13.84
Richie James,WR,3000,1.72
Kendrick Bourne,WR,3300,5.34
Marquise Goodwin,WR,3200,3.69
Hunter Renfrow,WR,4500,9.92
Marcell Ateman,WR,3000,1.66
Albert Wilson,WR,3200,7.96
Damion Ratley,WR,3000,0.59
Khadarel Hodge,WR,3100,2.19
Allen Hurns,WR,3300,8.86
DeVante Parker,WR,5200,12.8
Russell Gage,WR,3900,9.93
Jakeem Grant,WR,3700,6.86
Jarvis Landry,WR,6300,15.35
Rashard Higgins,WR,3300,6.15
Darius Slayton,WR,5300,7.38
Golden Tate,WR,5700,11.82
Sterling Shepard,WR,4900,9.17
Bennie Fowler,WR,3000,3.77
Odell Beckham,WR,7000,17.11
Cody Latimer,WR,3000,3
Julio Jones,WR,8000,21.16
Calvin Ridley,WR,6500,15.05
DeAndre Carter,WR,3000,0.61
Kenny Stills,WR,4100,7.65
Will Fuller,WR,5300,10.67
Marcus Johnson,WR,3400,4.33
Ashton Dulin,WR,3000,1.04
Zach Pascal,WR,5600,8.68
Chester Rogers,WR,3800,5.19
DeAndre Hopkins,WR,7500,18.99
Mike Evans,WR,7300,18.11
Christian Blake,WR,3000,2.77
Justin Hardy,WR,3300,5
Justin Watson,WR,3000,0.61
Scotty Miller,WR,3100,2.01
Breshad Perriman,WR,3200,5.42
Chris Godwin,WR,7200,17.71
Cordarrelle Patterson,WR,3000,2.73
Anthony Miller,WR,3500,7.71
Andre Roberts,WR,3000,1.85
Robert Foster,WR,3000,2.89
Kenny Golladay,WR,6600,13.02
Isaiah McKenzie,WR,3200,4.62
Cole Beasley,WR,4400,10.61
Diontae Spencer,WR,3000,0.82
John Brown,WR,6700,12.77
Marvin Jones,WR,6100,11.46
Marvin Hall,WR,3000,1.97
Trey Quinn,WR,3600,5.33
Steven Sims,WR,3000,4.13
Paul Richardson,WR,4000,6.83
Terry McLaurin,WR,6000,10.89
Danny Amendola,WR,4400,9.33
Kelvin Harmon,WR,3300,6.02
Fred Brown,WR,3100,1.29
Courtland Sutton,WR,6200,12.39
Curtis Samuel,WR,5400,12.79
Donte Moncrief,WR,3000,0.52
DeAndrew White,WR,3000,0.94
D.J. Moore,WR,6400,13.89
Javon Wims,WR,3000,1.34
Allen Robinson,WR,6500,14.19
Taylor Gabriel,WR,4200,8.61
Jarius Wright,WR,3000,5.16
Michael Thomas,WR,9300,24.34
DaeSean Hamilton,WR,3400,3.14
Tim Patrick,WR,3000,7.5
Krishawn Hogan,WR,3000,0.84
Deonte Harris,WR,3000,1.07
Tre'Quan Smith,WR,3400,4.9
Ted Ginn,WR,4000,8.19
T.Y. Hilton,WR,6600,11.96
Jonnu Smith,TE,3600,6.08
Nick O'Leary,TE,2700,4.08
Ben Koyack,TE,2500,2.18
Anthony Firkser,TE,2800,2.61
Jason Witten,TE,3500,8.18
Blake Jarwin,TE,2900,2.27
C.J. Uzomah,TE,2500,1.99
Tyler Eifert,TE,3100,6.55
Ryan Griffin,TE,4200,8.84
Darren Waller,TE,5700,13.01
Daniel Brown,TE,2500,1.02
Vance McDonald,TE,3500,9.72
Nick Vannett,TE,2500,2.07
Matt LaCosse,TE,2600,3.24
Benjamin Watson,TE,3100,6.27
Hayden Hurst,TE,2500,4.57
Tyrone Swoopes,TE,2500,1.05
Nick Boyle,TE,2700,5.92
Mark Andrews,TE,6100,13.94
Tyler Higbee,TE,2500,3.57
Gerald Everett,TE,4000,7.52
Zach Ertz,TE,6000,15.28
Dallas Goedert,TE,3700,8.93
Jimmy Graham,TE,3600,8.1
Marcedes Lewis,TE,2500,0.83
George Kittle,TE,6300,13.99
Ross Dwelley,TE,3700,1.18
Jacob Hollister,TE,4300,7.04
Foster Moreau,TE,2800,3.26
Jeremy Sprinkle,TE,2900,6.02
Jaeden Graham,TE,3300,4.52
Luke Stocker,TE,3100,2.94
Durham Smythe,TE,2500,0.61
Mike Gesicki,TE,3400,8.55
Stephen Carlson,TE,2500,0.82
Demetrius Harris,TE,3200,3.94
Cameron Brate,TE,3600,5.82
O.J. Howard,TE,3300,5.56
Mo Alie-Cox,TE,2500,1.72
Jack Doyle,TE,3300,7.89
Jordan Akins,TE,2600,5.45
Darren Fells,TE,3300,7.48
Jordan Thomas,TE,2800,0.44
Ben Braunecker,TE,2700,5.52
Kaden Smith,TE,2500,4.81
Tyler Kroft,TE,2500,3.9
Jeff Heuerman,TE,2500,1.78
Dawson Knox,TE,3000,5.3
T.J. Hockenson,TE,3400,6.83
Logan Thomas,TE,2500,1.56
Noah Fant,TE,3900,9.25
Josh Hill,TE,2700,2.29
J.P. Holtz,TE,2500,0.78
Scott Simonson,TE,2600,1.63
Chris Manhertz,TE,2500,1.05
Greg Olsen,TE,4100,9.77
Jared Cook,TE,4500,10.36
Eric Ebron,TE,3700,8.28
Chris Conley,FLEX,4100,8.35
Leonard Fournette,FLEX,7300,17.68
Ryquell Armstead,FLEX,4300,3.41
Jonnu Smith,FLEX,3600,6.08
Dion Lewis,FLEX,3600,6.22
A.J. Brown,FLEX,4700,9.95
Derrick Henry,FLEX,6900,17.65
Devine Ozigbo,FLEX,3000,0.15
DJ Chark,FLEX,6400,13.73
Auden Tate,FLEX,4100,6.74
Diontae Johnson,FLEX,5100,10.15
Benny Snell,FLEX,4500,5.72
Nick O'Leary,FLEX,2700,4.08
Michael Walker,FLEX,3000,0.57
Dede Westbrook,FLEX,4600,11.09
Keelan Cole,FLEX,3500,5.08
Corey Davis,FLEX,4300,7.82
Khari Blasingame,FLEX,3000,0.49
Michael Gallup,FLEX,5900,11.76
Randall Cobb,FLEX,4800,9.64
Tavon Austin,FLEX,3000,1.66
Amari Cooper,FLEX,6600,13.7
Jamize Olawale,FLEX,3000,0.75
Ezekiel Elliott,FLEX,7500,16.53
Tony Pollard,FLEX,4700,4.07
Ventell Bryant,FLEX,3000,0.56
Jason Witten,FLEX,3500,8.18
Kalif Raymond,FLEX,3000,1.96
Tajae Sharpe,FLEX,3000,5.46
Adam Humphries,FLEX,3900,8.94
Ben Koyack,FLEX,2500,2.18
Blake Jarwin,FLEX,2900,2.27
Anthony Firkser,FLEX,2800,2.61
C.J. Uzomah,FLEX,2500,1.99
Tyler Eifert,FLEX,3100,6.55
Ty Montgomery,FLEX,4000,1.8
Bilal Powell,FLEX,3500,2.93
Le'Veon Bell,FLEX,6400,16.46
Robby Anderson,FLEX,4800,9.51
Demaryius Thomas,FLEX,3800,9.54
Vyncint Smith,FLEX,3000,2.06
Jamison Crowder,FLEX,6200,13.79
Ryan Griffin,FLEX,4200,8.84
Trevor Davis,FLEX,3000,0.61
Tyrell Williams,FLEX,5900,12.99
Zay Jones,FLEX,3400,6.67
Hunter Renfrow,FLEX,4500,9.92
DeAndre Washington,FLEX,3000,4
Jalen Richard,FLEX,4000,5.54
Darren Waller,FLEX,5700,13.01
Josh Jacobs,FLEX,7400,15.96
Braxton Berrios,FLEX,3000,0.53
Daniel Brown,FLEX,2500,1.02
Giovani Bernard,FLEX,4100,5.13
Joe Mixon,FLEX,5900,13.36
Damion Willis,FLEX,3100,1.25
Trayveon Williams,FLEX,3400,1.4
Tyler Boyd,FLEX,5000,12.8
Stanley Morgan,FLEX,3000,3.5
Alex Erickson,FLEX,4000,6.12
Nick Vannett,FLEX,2500,2.07
Vance McDonald,FLEX,3500,9.72
Jaylen Samuels,FLEX,7200,14.53
Tevin Jones,FLEX,3000,1.91
Trey Edmunds,FLEX,3900,3.41
Deon Cain,FLEX,3000,1.43
Johnny Holton,FLEX,3300,4.92
James Washington,FLEX,5000,10.54
Matt LaCosse,FLEX,2600,3.24
Benjamin Watson,FLEX,3100,6.27
Greg Ward,FLEX,3000,1.34
Tyrone Swoopes,FLEX,2500,1.05
Zach Ertz,FLEX,6000,15.28
Hayden Hurst,FLEX,2500,4.57
Nick Boyle,FLEX,2700,5.92
De'Anthony Thomas,FLEX,3000,2.18
Mark Andrews,FLEX,6100,13.94
Mack Hollins,FLEX,3200,7.23
Dallas Goedert,FLEX,3700,8.93
Jordan Matthews,FLEX,3500,11.12
Chris Carson,FLEX,6700,16.72
Rashaad Penny,FLEX,4300,3.55
JJ Arcega-Whiteside,FLEX,3000,7.61
Jay Ajayi,FLEX,3000,6.43
Miles Sanders,FLEX,5000,13.12
Boston Scott,FLEX,3000,3.19
Miles Boykin,FLEX,3200,3.46
Seth Roberts,FLEX,3100,4.87
Brandin Cooks,FLEX,5000,11.17
Cooper Kupp,FLEX,6800,16.62
Josh Reynolds,FLEX,3700,2.25
Robert Woods,FLEX,5400,12.4
Darrell Henderson,FLEX,3000,1.15
Todd Gurley,FLEX,6000,12.97
Malcolm Brown,FLEX,4000,4.44
Mike Thomas,FLEX,3000,1.16
Tyler Higbee,FLEX,2500,3.57
Marquise Brown,FLEX,5400,12.73
Willie Snead,FLEX,3700,6.55
Justice Hill,FLEX,3000,1.83
Gus Edwards,FLEX,4300,3.89
Gerald Everett,FLEX,4000,7.52
Mark Ingram,FLEX,6300,12.21
Travis Homer,FLEX,3000,0.21
Tyler Lockett,FLEX,7600,16.7
Geronimo Allison,FLEX,3500,4.29
Jake Kumerow,FLEX,3100,1.27
Jimmy Graham,FLEX,3600,8.1
Marquez Valdes-Scantling,FLEX,3900,9.02
Davante Adams,FLEX,6500,16.88
Jamaal Williams,FLEX,4500,10.8
Dan Vitale,FLEX,3000,0.63
Marcedes Lewis,FLEX,2500,0.83
Mohamed Sanu,FLEX,5500,2.51
Sony Michel,FLEX,4600,11.44
N'Keal Harry,FLEX,3300,11.06
Julian Edelman,FLEX,6900,15.46
Jakobi Meyers,FLEX,3000,5.73
Rex Burkhead,FLEX,3700,4.5
Matt Slater,FLEX,3000,0.39
James White,FLEX,5300,12.45
Aaron Jones,FLEX,7000,15.98
Allen Lazard,FLEX,3400,6.86
Jacob Hollister,FLEX,4300,7.04
Emmanuel Sanders,FLEX,6400,13.84
Raheem Mostert,FLEX,3700,5.6
David Moore,FLEX,3200,5.16
Malik Turner,FLEX,3000,3.31
D.K. Metcalf,FLEX,6300,13.39
Josh Gordon,FLEX,4200,9.17
Ross Dwelley,FLEX,3700,1.18
George Kittle,FLEX,6300,13.99
Kyle Juszczyk,FLEX,3300,3.31
Tevin Coleman,FLEX,6200,15.28
Deebo Samuel,FLEX,5100,11.11
Kendrick Bourne,FLEX,3300,5.34
Richie James,FLEX,3000,1.72
Marquise Goodwin,FLEX,3200,3.69
Foster Moreau,FLEX,2800,3.26
Marcell Ateman,FLEX,3000,1.66
Durham Smythe,FLEX,2500,0.61
Albert Wilson,FLEX,3200,7.96
Allen Hurns,FLEX,3300,8.86
Mike Gesicki,FLEX,3400,8.55
Myles Gaskin,FLEX,3000,0.85
Demetrius Harris,FLEX,3200,3.94
Damion Ratley,FLEX,3000,0.59
DeVante Parker,FLEX,5200,12.8
Patrick Laird,FLEX,3400,4.85
Qadree Ollison,FLEX,3300,5.41
Russell Gage,FLEX,3900,9.93
Julio Jones,FLEX,8000,21.16
Kenjon Barner,FLEX,3500,2.83
Brian Hill,FLEX,4900,14.13
Kalen Ballage,FLEX,4400,10.55
Jakeem Grant,FLEX,3700,6.86
Khadarel Hodge,FLEX,3100,2.19
Jarvis Landry,FLEX,6300,15.35
Elijhaa Penny,FLEX,3000,0.22
Darius Slayton,FLEX,5300,7.38
Sterling Shepard,FLEX,4900,9.17
Wayne Gallman,FLEX,4200,2.45
Saquon Barkley,FLEX,7900,16.96
Ben Braunecker,FLEX,2700,5.52
Golden Tate,FLEX,5700,11.82
Bennie Fowler,FLEX,3000,3.77
Cody Latimer,FLEX,3000,3
Nick Chubb,FLEX,8100,19.08
Rashard Higgins,FLEX,3300,6.15
Kareem Hunt,FLEX,5600,12.32
Dontrell Hilliard,FLEX,3300,0.75
Stephen Carlson,FLEX,2500,0.82
Odell Beckham,FLEX,7000,17.11
Calvin Ridley,FLEX,6500,15.05
Justin Hardy,FLEX,3300,5
Darren Fells,FLEX,3300,7.48
Jordan Akins,FLEX,2600,5.45
Mo Alie-Cox,FLEX,2500,1.72
DeAndre Carter,FLEX,3000,0.61
Kenny Stills,FLEX,4100,7.65
DeAndre Hopkins,FLEX,7500,18.99
Will Fuller,FLEX,5300,10.67
Jack Doyle,FLEX,3300,7.89
Eric Ebron,FLEX,3700,8.28
Zach Pascal,FLEX,5600,8.68
T.Y. Hilton,FLEX,6600,11.96
Jonathan Williams,FLEX,4200,7.53
Jordan Wilkins,FLEX,4000,4.35
Chester Rogers,FLEX,3800,5.19
Marcus Johnson,FLEX,3400,4.33
Ashton Dulin,FLEX,3000,1.04
Gregory Howell,FLEX,3000,1.36
Duke Johnson,FLEX,3900,8.63
O.J. Howard,FLEX,3300,5.56
Justin Watson,FLEX,3000,0.61
Scotty Miller,FLEX,3100,2.01
Cameron Brate,FLEX,3600,5.82
Luke Stocker,FLEX,3100,2.94
Christian Blake,FLEX,3000,2.77
Jaeden Graham,FLEX,3300,4.52
Chris Godwin,FLEX,7200,17.71
Breshad Perriman,FLEX,3200,5.42
Jordan Thomas,FLEX,2800,0.44
Carlos Hyde,FLEX,4800,12.02
Ronald Jones,FLEX,4800,12.13
Peyton Barber,FLEX,3800,4.46
Mike Evans,FLEX,7300,18.11
Dare Ogunbowale,FLEX,3200,5.63
Cordarrelle Patterson,FLEX,3000,2.73
Anthony Miller,FLEX,3500,7.71
Isaiah McKenzie,FLEX,3200,4.62
Cole Beasley,FLEX,4400,10.61
John Brown,FLEX,6700,12.77
Andre Roberts,FLEX,3000,1.85
Robert Foster,FLEX,3000,2.89
Bo Scarbrough,FLEX,4200,8.91
Dawson Knox,FLEX,3000,5.3
Patrick DiMarco,FLEX,3000,0.6
Frank Gore,FLEX,4100,6.38
Diontae Spencer,FLEX,3000,0.82
Fred Brown,FLEX,3100,1.29
Courtland Sutton,FLEX,6200,12.39
Noah Fant,FLEX,3900,9.25
Jeff Heuerman,FLEX,2500,1.78
Devin Singletary,FLEX,5400,13.6
Tyler Kroft,FLEX,2500,3.9
Ty Johnson,FLEX,3700,5.31
J.D. McKissic,FLEX,4400,7.9
Paul Richardson,FLEX,4000,6.83
Terry McLaurin,FLEX,6000,10.89
Adrian Peterson,FLEX,4300,7.81
Trey Quinn,FLEX,3600,5.33
Steven Sims,FLEX,3000,4.13
Wendell Smallwood,FLEX,3000,1.04
Jeremy Sprinkle,FLEX,2900,6.02
Derrius Guice,FLEX,4700,10.12
Kelvin Harmon,FLEX,3300,6.02
Marvin Jones,FLEX,6100,11.46
Kenny Golladay,FLEX,6600,13.02
Marvin Hall,FLEX,3000,1.97
T.J. Hockenson,FLEX,3400,6.83
Danny Amendola,FLEX,4400,9.33
Logan Thomas,FLEX,2500,1.56
Devontae Booker,FLEX,3000,1.16
Tim Patrick,FLEX,3000,7.5
Curtis Samuel,FLEX,5400,12.79
D.J. Moore,FLEX,6400,13.89
J.P. Holtz,FLEX,2500,0.78
Christian McCaffrey,FLEX,10500,22.98
Donte Moncrief,FLEX,3000,0.52
Reggie Bonnafon,FLEX,3900,0.77
DeAndrew White,FLEX,3000,0.94
Scott Simonson,FLEX,2600,1.63
Kaden Smith,FLEX,2500,4.81
Tarik Cohen,FLEX,4800,10.18
David Montgomery,FLEX,5500,13.83
Ryan Nall,FLEX,3000,0.92
Allen Robinson,FLEX,6500,14.19
Javon Wims,FLEX,3000,1.34
Taylor Gabriel,FLEX,4200,8.61
Chris Manhertz,FLEX,2500,1.05
Greg Olsen,FLEX,4100,9.77
Josh Hill,FLEX,2700,2.29
Jared Cook,FLEX,4500,10.36
Krishawn Hogan,FLEX,3000,0.84
Alex Armah,FLEX,3000,0.27
Phillip Lindsay,FLEX,5200,14.15
Royce Freeman,FLEX,4500,8.93
DaeSean Hamilton,FLEX,3400,3.14
Deonte Harris,FLEX,3000,1.07
Ted Ginn,FLEX,4000,8.19
Alvin Kamara,FLEX,8200,22.03
Jarius Wright,FLEX,3000,5.16
Latavius Murray,FLEX,6100,10.49
Zach Line,FLEX,3000,0.64
Tre'Quan Smith,FLEX,3400,4.9
Michael Thomas,FLEX,9300,24.34
Nyheim Hines,FLEX,4700,8.67
Tennessee Titans,DST,3200,7.45
Dallas Cowboys,DST,2300,6.54
Jacksonville Jaguars,DST,2800,7.02
Cincinnati Bengals,DST,2100,6.57
New York Jets,DST,2700,6.76
Pittsburgh Steelers,DST,4000,8.58
New England Patriots,DST,3300,7.52
Green Bay Packers,DST,2700,7.11
Baltimore Ravens,DST,3400,7.46
Los Angeles Rams,DST,2300,6.45
Philadelphia Eagles,DST,2500,6.9
Seattle Seahawks,DST,2600,7.08
San Francisco 49ers,DST,3200,7.65
Oakland Raiders,DST,3600,8.08
Washington Redskins,DST,3000,6.86
Miami Dolphins,DST,2000,6.71
Cleveland Browns,DST,3800,9.51
Atlanta Falcons,DST,3500,7.18
Tampa Bay Buccaneers,DST,2200,6.28
Houston Texans,DST,2800,8.14
New York Giants,DST,2900,6.63
Chicago Bears,DST,3700,8.86
Buffalo Bills,DST,3400,9.04
Detroit Lions,DST,3100,7.92
Denver Broncos,DST,2400,7.76
New Orleans Saints,DST,3300,8.6
Carolina Panthers,DST,2200,6.56
Indianapolis Colts,DST,2600,6.75